num_agents,iterations,run_number,exploration_time_s,total_conformations,throughput_conf_per_s,best_energy,rmsd_to_native_angstrom,predicted_melting_temp_C,predicted_delta_g_kcal_mol,experimental_melting_temp_C,experimental_delta_g_kcal_mol,temperature_error_C,delta_g_error_kcal_mol,qcpp_analyses,qcpp_cache_hits,qcpp_cache_hit_rate_percent
5,1000,1,9.499558925628662,5000,526.3402268615445,-345.2826697818823,79.04260964902107,0.0,0.0,84.0,-5.8,84.0,5.8,0,0,0.0
10,1000,1,14.551855087280273,10000,687.1976074542528,-332.5226729974445,79.26124730557741,0.0,0.0,84.0,-5.8,84.0,5.8,0,0,0.0
20,1000,1,31.389727115631104,20000,637.1511267468338,-350.9357232121294,78.65914234651788,0.0,0.0,84.0,-5.8,84.0,5.8,0,0,0.0
50,1000,1,81.09361457824707,50000,616.571357190585,-356.56920477692677,78.98826653900956,0.0,0.0,84.0,-5.8,84.0,5.8,0,0,0.0
100,1000,1,202.22042083740234,100000,494.5098995734271,-354.83470841908877,78.65239836886347,0.0,0.0,84.0,-5.8,84.0,5.8,0,0,0.0
